Taxa,common_name,native,fed_status,state_status
Pomoxis nigromaculatus,Black Crappie,FALSE,,
Porichthys notatus,Plainfin Midshipman,TRUE,,
Psettichthys melanostictus,Pacific Sand Sole,TRUE,,
Ptychocheilus grandis,Sacramento Pikeminnow,TRUE,,SC
Raja binoculata,Big Skate,TRUE,,
Rathbunella hypoplecta,Bluespotted Ronquil,TRUE,,
Rhacochilus toxotes,Surfperch (unspecified),TRUE,,
Rhacochilus vacca,Pile Surfperch,TRUE,,
Rhinobatos productus,Shovelnose Guitarfish,TRUE,,
Sarda chiliensis,Pacific Bonito,TRUE,,
Sardinops sagax,Pacific Sardine,TRUE,,
Scomber japonicus,Pacific Chub Mackerel,TRUE,,
Scorpaenichthys marmoratus,Cabezon,TRUE,,
Sebastes,Rockfishes,,,
Sebastes auriculatus,Brown Rockfish,TRUE,,
Sebastes flavidus,Yellowtail Rockfish,TRUE,,
Sebastes melanops,Black Rockfish,TRUE,,
Sebastes miniatus,Vermilion Rockfish,TRUE,,
Sebastes mystinus,Blue Rockfish,TRUE,,
Sebastes paucispinis,Bocaccio,TRUE,T,SC
Sebastes rastrelliger,Grass Rockfish,TRUE,,
Seriphus politus,Queenfish,TRUE,,
Sphyraena argentea,Pacific Barracuda,TRUE,,
Spirinchus starksi,Night Smelt,TRUE,,
Spirinchus thaleichthys,Longfin Smelt,TRUE,,SC
Squalus acanthias,Spiny Dogfish,TRUE,,
Symphurus atricauda,California Tonguefish,TRUE,,
Syngnathus leptorhynchus,Bayonetfish (Pacific Pipefish),TRUE,,
Synodus lucioceps,California Lizardfish,TRUE,,
Thaleichthys pacificus,Eulachon,TRUE,T,T
Torpedo californica,Pacific Electric Ray,TRUE,,
Trachurus symmetricus,Jack Mackerel,TRUE,,
Triakis semifasciata,Leopard Shark,TRUE,,
Tridentiger barbatus,Shokihaze Goby,FALSE,,
Tridentiger bifasciatus,Chameleon Goby,FALSE,,
Tridentiger trigonocephalus,Shimofuri Goby,FALSE,,
Clupeidae,Herrings,,,
Corbicula fluminea,Asian Clam,FALSE,,
Crangon franciscorum,Bay Shrimp (California Crangon),TRUE,,
Eriocheir sinensis,Chinese Mitten Crab,FALSE,,
Gobiidae,Gobies,,,
Ictaluridae,Bullhead Catfishes,,,
Lepomis gulosus,Warmouth,FALSE,,
Macoma,Clams (genus Macoma),,, 
Maeotias marginata,Black Sea Jellyfish,FALSE,,
Myoidae,Soft-shell Clams,,,
Mysida,Opossum Shrimp (order),,, 
Palaemon macrodactylus,Oriental Shrimp,FALSE,,
Palaemon modestus,Eastern River Prawn,FALSE,,
Pimephales promelas,Fathead Minnow,FALSE,,
Pomoxis annularis,White Crappie,FALSE,,
Potamocorbula amurensis,Overbite Clam,FALSE,,
Procambarus clarkii,Red Swamp Crayfish,FALSE,,
Rhithropanopeus harrisii,Harris Mud Crab,FALSE,,
Aequorea,Crystal Jelly,,,
Anarrhichthys ocellatus,Wolf Eel,TRUE,,
Archoplites interruptus,Sacramento Perch,TRUE,,SC
Aurelia aurita,Moon Jelly,FALSE,,
Chrysaora fuscescens,Pacific Sea Nettle,TRUE,,
Cnidaria,True Jellyfish (phylum),,, 
Cottus gulosus,Riffle Sculpin,TRUE,,
Crangon,Shrimp (genus Crangon),,, 
Decapoda,Crabs & Shrimp (order),,, 
Hippoglossus stenolepis,Pacific Halibut,TRUE,,
Lepidopsetta bilineata,Rock Sole,TRUE,,
Mustelus californicus,Gray Smoothhound,TRUE,,
Palaemon,Shrimp (genus),,, 
Palaemon kadiakensis,Mississippi Grass Shrimp,FALSE,,
Pleurobrachia bachei,Sea Gooseberry,FALSE,,
Polyorchis penicillatus,Penicillate Jellyfish,TRUE,,
Scrippsia pacifica,Scripps's Jellyfish,FALSE,,
Upogebia,Mud Shrimp (genus),,, 
Blackfordia virginica,Blackfordia Jellyfish,FALSE,,
Micropterus dolomieu,Smallmouth Bass,FALSE,,
Mugil cephalus,Striped Mullet,FALSE,,
Acipenser,Sturgeons (genus),,, 
Ameiurus natalis,Yellow Bullhead,FALSE,,
Anguilliformes,Eels (order),,, 
Apodichthys flavidus,Penpoint Gunnel,TRUE,,
Aurelia labiata,Pacific Moon Jelly,TRUE,,
Brachyistius frenatus,Kelp Perch,TRUE,,
Catostomidae,Suckers (family),,, 
Cottidae,Sculpins (family),,, 
Cyprinella lutrensis,Red Shiner,FALSE,,
Gibbonsia metzi,Striped Kelpfish,TRUE,,
Gibbonsia montereyensis,Spotted Kelpfish,TRUE,,
Heptacarpus,Small Shrimp (genus),,, 
Hesperoleucus symmetricus,California Golden Shiner,TRUE,,SC
Heterostichus rostratus,Giant Kelpfish,TRUE,,
Isopsetta isolepis,Butter Sole,TRUE,,
Lepomis,Sunfishes (genus),,, 
Micropterus,Black Basses (genus),,, 
Micropterus coosae,Redeye Bass,FALSE,,
Moerisia,Moerisia Jellyfish (genus),FALSE,,
Notropis rubellus,Rosyface Shiner,FALSE,,
Oligocottus maculosus,Tidepool Sculpin,TRUE,,
Oligocottus rimensis,Saddleback Sculpin,TRUE,,
Osmeridae,Smelts (family),,, 
Pandalus danae,Coonstripe Shrimp,TRUE,,
Percidae,Perches (family),,, 
Phacellophora camtschatica,Fried Egg Jelly,TRUE,,
Pholis schultzi,Crescent Gunnel,TRUE,,
Polyorchis haplus,Delicate Bell Jelly,TRUE,,
Pomoxis,Crappies (genus),,,
Pterygoplichthys disjunctivus,Vermiculated Sailfin Catfish,FALSE,,
Rhinichthys osculus,Speckled Dace,TRUE,,SC
Salmo trutta,Brown Trout,FALSE,,
Sebastes carnatus,Gopher Rockfish,TRUE,,
Siphateles bicolor,Tui Chub,TRUE,,
Tridentiger,Goby (genus Tridentiger),,, 
Atheriniformes,Silversides and Allies (order),,, 
Pholidae,Gunnels (family),,, 
Stichaeidae,Pricklebacks (family),,, 
Actinopteri,Ray-finned Fishes (class),,, 
Atherinopsidae,New World Silversides (family),,, 
Cancer magister,Dungeness Crab,TRUE,,
Eucyclogobius newberryi,Tidewater Goby,TRUE,E,E
Exopalaemon modestus,Monsoon Prawn,FALSE,,
Anguilla rostrata,American Eel,FALSE,,
Chinese Mitten Crab Temp,Chinese Mitten Crab (temp record),FALSE,,
Esox lucius,Northern Pike,FALSE,,
Ictalurus natalis,Yellow Bullhead,FALSE,,
Lampetra,Lampreys (genus),,, 
Lampetra pacifica,Pacific Brook Lamprey,TRUE,,
Menidia beryllina,Inland Silverside,FALSE,,
Morone chrysops,White Bass,FALSE,,
Oncorhynchus gorbuscha,Pink Salmon,TRUE,,
Paramisgurnus dabryanus,Chinese Weatherfish,FALSE,,
Perca flavescens,Yellow Perch,FALSE,,
Unknown,Unknown,,,
UnID,UnID,,,
